symbol,trigger_ts,filter_name,trigger_price,decision,confidence,entry_price,stop_loss,take_profit,outcome,exit_price,exit_hours,pnl_pct,tokens_in,tokens_out,reasoning_short
BTC/USD,2026-05-09T15:00:00+00:00,ema_pullback,80538.46,skip,3,,,,,,,,6579,325,Price is at EMA20 (80538 vs 80301) but BB pct_b at 1.074 means price is already 
BTC/USD,2026-05-09T22:00:00+00:00,ema_pullback,80751.8795,skip,3,,,,,,,,6579,368,The EMA pullback trigger fires at 80751 with price above EMA20 (80548) and EMA50
BTC/USD,2026-05-10T17:00:00+00:00,volume_absorption,81479.18,skip,3,,,,,,,,6584,381,RSI14 at 77.1 and StochRSI K/D at 92.3/94.7 are deeply overbought — entering her
BTC/USD,2026-05-10T22:00:00+00:00,breakout_atr,82021.959,skip,4,,,,,,,,6593,501,The breakout to 82021 in the final H1 bar is technically impressive (2.6x volume
BTC/USD,2026-05-11T11:00:00+00:00,volume_absorption,81171.394,skip,4,,,,,,,,6577,405,"Volume absorption triggered at 81171 with 3.7x avg volume on the latest H1 bar, "
BTC/USD,2026-05-11T17:00:00+00:00,ema_pullback,81936.43,skip,3,,,,,,,,6585,374,StochRSI K=100 (fully overbought) with price at BB pct_b=0.908 (near upper band)
BTC/USD,2026-05-11T23:00:00+00:00,ema_pullback,81738.608,skip,3,,,,,,,,6578,339,Volume is severely deficient — the trigger bar (05-11T23:00Z) printed volume 0.0
BTC/USD,2026-05-12T17:00:00+00:00,volume_absorption,80499.1535,skip,3,,,,,,,,6577,440,Volume absorption trigger fired but the broader context does not support a long 
BTC/USD,2026-05-13T09:00:00+00:00,ema_pullback,81277.873,skip,3,,,,,,,,6585,359,"StochRSI K=82.3/D=72.2 is firmly overbought at the trigger price of 81277.87, un"
BTC/USD,2026-05-13T14:00:00+00:00,volume_absorption,79730.715,skip,3,,,,,,,,6599,389,"Price at 79730 is below EMA20 (80610), EMA50 (80796), and VWAP (80182) — all maj"
BTC/USD,2026-05-14T14:00:00+00:00,breakout_atr,80953.597456895,skip,4,,,,,,,,6586,425,The breakout trigger fired after a sharp single-candle spike from 79560 to 80999
BTC/USD,2026-05-15T02:00:00+00:00,ema_pullback,81283.261,skip,4,,,,,,,,6577,421,"EMA pullback trigger fires at 81283 above EMA20 (80899) in an H4 uptrend, but mu"
BTC/USD,2026-05-15T06:00:00+00:00,volume_absorption,80566.0675,skip,3,,,,,,,,6581,430,Volume absorption trigger fired but the broader context lacks conviction. Price 
BTC/USD,2026-05-15T14:00:00+00:00,volume_absorption,79093.945,skip,4,,,,,,,,6600,468,"Price broke down sharply in the 05-15T13:00Z bar (H1 candle: open 80355, low 786"
BTC/USD,2026-05-17T10:00:00+00:00,volume_absorption,78443.03,skip,3,,,,,,,,6587,423,Price at 78443 is above BB upper (78429.92) with bb_pct_b=1.021 — already extend
BTC/USD,2026-05-21T00:00:00+00:00,ema_pullback,77882.99,skip,3,,,,,,,,6581,426,"Price at 77882 is above BB upper (77758) with bb_pct_b=1.177, meaning this is an"
BTC/USD,2026-05-21T05:00:00+00:00,ema_pullback,77753.8045,skip,3,,,,,,,,6581,400,Multiple factors argue against entry. Volume is critically weak: current bar vol
BTC/USD,2026-05-25T12:00:00+00:00,ema_pullback,77279.82,skip,4,,,,,,,,6581,371,"EMA pullback trigger at 77279 in an H4 uptrend, but several factors undermine co"
NVDA,2026-04-24T14:00:00+00:00,volume_absorption,208.7,skip,4,,,,,,,,6406,400,The H1 bar at 14:00Z shows an explosive move from 201.97 to 208.70 with 3.3x ave
NVDA,2026-04-27T16:00:00+00:00,breakout_atr,212.75,skip,4,,,,,,,,6418,434,The breakout_atr trigger fired at 212.75 but RSI14=71.6 and StochRSI K/D at 81.9
NVDA,2026-04-28T12:00:00+00:00,ema_pullback,210.14,skip,4,,,,,,,,6412,434,"Price at 210.14 is barely touching EMA20 (210.13), which technically qualifies a"
NVDA,2026-04-28T16:00:00+00:00,ema_pullback,210.7,skip,4,,,,,,,,6419,400,"EMA pullback trigger fires at 210.70 near EMA20 (210.27) in an H4 uptrend, but s"
NVDA,2026-05-06T19:00:00+00:00,volume_absorption,207.67,skip,3,,,,,,,,6413,415,RSI14 at 74.1 and StochRSI K/D at 100.0/99.8 are severely overbought on H1. BB %
NVDA,2026-05-11T14:00:00+00:00,breakout_atr,221.59,skip,4,,,,,,,,6407,422,"RSI14=76.9 is severely overbought at the point of entry, with price already 1.18"
NVDA,2026-05-12T13:00:00+00:00,ema_pullback,220.33,skip,4,,,,,,,,6422,416,The H4 uptrend is confirmed (close > H4 EMA200) and price has rallied from ~196 
NVDA,2026-05-12T17:00:00+00:00,ema_pullback,218.69,skip,4,,,,,,,,6414,407,"EMA pullback trigger fired at 218.69, but the intraday H1 context shows clear di"
NVDA,2026-05-14T14:00:00+00:00,volume_absorption,234.57,skip,3,,,,,,,,6411,350,"RSI14=79.6 and StochRSI K=100.0/D=92.2 are deeply overbought on H1, placing this"
NVDA,2026-05-18T12:00:00+00:00,ema_pullback,230.06,skip,3,,,,,,,,6410,423,The H1 bar at 05-18T12:00Z shows only 525 volume — essentially zero compared to 
NVDA,2026-05-20T16:00:00+00:00,ema_pullback,224.59,skip,4,,,,,,,,6417,375,"StochRSI K=97.6/D=90.8 is severely overbought at the trigger price, meaning this"
TSLA,2026-05-07T13:00:00+00:00,volume_absorption,413.485,skip,3,,,,,,,,6386,382,RSI14=78.0 and StochRSI K/D at 89.4/87.0 are deep in overbought territory. BB %b
TSLA,2026-05-08T13:00:00+00:00,breakout_atr,428.025,skip,3,,,,,,,,6382,379,RSI14=76.3 is deeply overbought. Price at 428.02 is already 4.5% above Bollinger
TSLA,2026-05-11T13:00:00+00:00,ema_pullback,421.66,skip,4,,,,,,,,6382,405,The H1 trigger price of 421.66 is significantly below today's H4 bar which shows
TSLA,2026-05-13T13:00:00+00:00,ema_pullback,433.77,skip,4,,,,,,,,6381,392,The H4 context bar ending 05-13T12:00Z shows a high of 453.39 before closing at 
TSLA,2026-05-14T14:00:00+00:00,ema_pullback,444.38,skip,4,,,,,,,,6380,343,"EMA pullback trigger in a confirmed H4 uptrend, but the setup has several weakne"
TSLA,2026-05-14T18:00:00+00:00,ema_pullback,444.89,skip,4,,,,,,,,6381,370,EMA pullback trigger fires at 444.89 with price above EMA20 (442.64) in H4 uptre
TSLA,2026-05-22T14:00:00+00:00,volume_absorption,430.44,skip,4,,,,,,,,6381,396,"Price at 430.44 is already above BB upper (426.79), with bb_pct_b at 1.192 — a s"
IONQ,2026-04-29T19:00:00+00:00,volume_absorption,42.1,skip,3,,,,,,,,6388,497,"Price at 42.10 is below both EMA20 (42.46) and EMA50 (43.53), meaning the trigge"
IONQ,2026-05-04T19:00:00+00:00,ema_pullback,45.78,skip,4,,,,,,,,6393,419,Price is pulling back from a spike high of 49.14 on 05-04T14:00Z and is now trad
IONQ,2026-05-05T14:00:00+00:00,ema_pullback,45.89,skip,4,,,,,,,,6393,401,"EMA pullback trigger fires at 45.89 above EMA20 (45.57) in H4 uptrend, but the s"
IONQ,2026-05-06T14:00:00+00:00,volume_absorption,50.29,skip,3,,,,,,,,6394,436,"Price at 50.29 is already above the Bollinger upper band (49.61, bb_pct_b=1.127)"
IONQ,2026-05-07T13:00:00+00:00,ema_pullback,50.865,skip,3,,,,,,,,6389,477,The H4 bars reveal a sharp rejection from the 05-06T17:00Z high of 57.00 — price
IONQ,2026-05-11T13:00:00+00:00,ema_pullback,53.48,skip,3,,,,,,,,6391,459,"Price at 53.48 is already at the Bollinger upper band (bb_upper=53.98, bb_pct_b="
IONQ,2026-05-12T17:00:00+00:00,ema_pullback,53.64,skip,4,,,,,,,,6397,436,IONQ spiked from ~46 to ~59 on 05-11 (H4 bar: O=48.07 H=57.35 C=56.37 on massive
IONQ,2026-05-13T14:00:00+00:00,ema_pullback,54.73,skip,4,,,,,,,,6389,446,"IONQ had a strong gap-up on 05-11 (46→56, volume 1.19M on H4) but has since pull"
IONQ,2026-05-14T13:00:00+00:00,ema_pullback,54.36,skip,4,,,,,,,,6390,405,"IONQ launched from ~47 to 58.52 on 05-11 on massive volume (1.19M H4 bar), then "
IONQ,2026-05-21T13:00:00+00:00,volume_absorption,58.52,skip,3,,,,,,,,6397,438,"Price has gapped up sharply from ~52.49 close yesterday to 58.52, a +11.5% move "
IONQ,2026-05-22T13:00:00+00:00,volume_absorption,63.165,skip,3,,,,,,,,6389,387,"IONQ has surged from ~48 to 63.16 in a single H1 bar (58.42 open to 63.16 close,"
IONQ,2026-05-27T12:00:00+00:00,ema_pullback,61.76,skip,3,,,,,,,,6393,417,The H1 bar at 05-27T12:00Z shows only 680 volume (the data explicitly marks it a
